match_id,victoires_dom_5,nuls_dom_5,defaites_dom_5,victoires_ext_5,nuls_ext_5,defaites_ext_5,buts_marques_dom_moy,buts_encaisses_dom_moy,buts_marques_ext_moy,buts_encaisses_ext_moy,h2h_dom_wins,h2h_nuls,h2h_ext_wins,resultat
234,0,3,2,0,3,2,0.86,1.86,0.57,1.43,0,1,0,1
235,3,2,0,2,2,1,1.5,0.5,1.38,0.75,1,0,0,1
236,1,4,0,0,2,3,1.38,1.13,1.13,1.75,1,0,0,1
237,0,1,4,1,1,3,0.75,1.38,1.38,1.5,0,0,0,1
238,1,2,2,0,4,1,1,1.25,1.75,1.38,0,0,0,1
239,1,2,2,2,2,1,1,1.5,1,1,0,1,0,2
240,4,0,1,1,3,1,1.38,1.25,1.5,1.5,0,0,1,0
241,0,4,1,2,2,1,0.63,1.38,1.38,0.75,0,2,1,2
242,0,4,1,4,1,0,0.88,1.75,1.75,1,0,1,0,1
243,1,4,0,3,2,0,1.33,1.11,1.44,0.56,1,0,0,2
244,2,3,0,0,2,3,1.33,0.78,0.78,1.33,0,0,0,2
245,0,2,3,0,3,2,1.11,1.67,1,1.22,0,0,0,1
246,1,1,3,2,1,2,1.33,1.44,1.22,1.44,0,1,0,2
247,0,5,0,3,0,2,1.67,1.33,1.33,1.33,0,0,1,1
248,2,1,2,1,3,1,1,1.22,0.78,1.22,1,1,1,2
249,2,2,1,0,4,1,1.56,1.44,0.89,1.67,0,1,0,1
250,2,1,2,3,2,0,1.22,0.89,1.67,1,0,0,1,0
254,2,1,2,0,3,2,1.3,1.3,1.1,1.6,0,0,1,1
251,2,2,1,0,2,3,1.3,0.8,0.7,1.3,1,0,0,0
252,0,4,1,2,3,0,1,1.2,1.5,1,0,0,0,1
253,1,1,3,2,3,0,1.2,1.6,1.3,0.7,0,0,1,0
255,1,2,2,1,1,3,0.7,1.3,1.5,1.4,1,0,0,0
256,0,5,0,0,5,0,0.8,1.5,1.6,1.3,1,0,0,2
257,3,2,0,3,1,1,1.7,0.9,1.1,1.1,0,1,0,2
258,2,1,2,2,2,1,1.1,1,1.4,1.3,1,0,0,1
259,0,4,1,2,1,2,0.91,1.09,1.18,0.91,0,0,0,0
260,1,1,3,1,1,3,0.82,1.18,1.18,1.73,0,0,0,2
261,2,3,0,1,2,2,1.36,0.91,1.27,1.27,1,0,0,2
262,3,2,0,1,1,3,1.45,0.73,0.64,1.36,0,0,1,0
263,0,4,1,1,4,0,1.09,1.55,0.91,1.36,1,0,0,2
264,2,1,2,4,1,0,1.55,1.27,1.73,0.82,0,0,1,1
265,0,4,1,2,1,2,1.45,1.36,1.09,1,0,0,1,1
266,2,1,2,1,3,1,1,1.18,1.36,1.27,1,0,0,2
267,2,1,2,1,0,4,1.25,0.92,1.08,1.75,1,0,0,2
268,0,2,3,0,4,1,1.17,1.25,0.92,1.17,0,0,0,1
269,2,1,2,2,1,2,0.83,1.33,0.92,1.08,0,0,0,0
270,1,3,1,2,3,0,0.83,1.33,1.33,0.83,0,0,1,0
271,3,2,0,3,1,1,1.67,0.83,1.42,0.92,1,0,0,2
272,1,2,2,1,3,1,1.08,1,1.08,1.42,0,1,0,0
273,1,3,1,2,2,1,1.25,1.33,1.5,1.25,0,1,0,1
274,3,0,2,0,4,1,1.08,1.08,1.42,1.33,1,0,0,1
275,0,3,2,2,1,2,1.15,1.23,1.38,0.92,0,1,1,2
276,1,0,4,2,0,3,1.08,1.85,0.85,1.46,1,0,0,2
277,0,4,1,1,2,2,0.92,1.15,0.85,1.46,0,0,0,2
278,3,1,1,3,2,0,1.08,1.08,1.69,0.77,2,0,0,2
279,3,2,0,0,2,3,1.46,0.85,1.08,1.08,0,1,0,1
280,2,1,2,1,3,1,1.31,1,1.23,1.31,1,0,0,2
281,2,3,0,2,1,2,1.15,1.38,1.08,1.08,1,0,0,0
282,2,3,0,0,4,1,1.46,1.23,1.38,1.31,0,0,1,1
283,2,0,3,1,0,4,1.36,1,0.79,1.57,1,1,0,2
284,1,1,3,1,3,1,0.79,1.43,1.21,1.21,0,0,1,0
285,3,1,1,1,0,4,1.64,0.86,1.21,1.71,0,0,1,2
286,0,3,2,1,3,1,1,1,0.93,1.07,0,0,0,2
287,0,3,2,4,0,1,1.14,1.36,1.14,1.07,0,1,1,2
288,3,1,1,3,2,0,1.21,1.07,1.36,0.79,0,0,1,1
289,0,4,1,3,0,2,1.36,1.29,1.36,0.93,0,1,0,2
290,2,3,0,2,2,1,1.43,1.21,1.14,1.5,0,1,0,2
291,3,0,2,1,0,4,1.2,1.2,1.2,1.2,2,0,0,2
292,3,1,1,0,0,0,1.2,1.2,1.2,1.2,0,0,0,2
293,1,3,1,1,2,2,1.2,1.2,1.2,1.2,1,0,0,2
294,1,2,2,4,0,1,1.2,1.2,1.2,1.2,1,1,1,2
295,2,2,1,2,3,0,1.2,1.2,1.2,1.2,0,1,1,2
296,1,3,1,2,0,3,1.2,1.2,1.2,1.2,1,1,0,1
297,2,3,0,2,1,2,1.2,1.2,1.2,1.2,1,1,0,2
395,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,0
389,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,0
390,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,2
391,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,0
392,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,1
